SampleA	SampleB	Spearman
Day14_5	Day07_4	0.911
Day14_6	Day07_4	0.909
Day21_1	Day07_4	0.891
Day21_2	Day07_4	0.884
Day21_3	Day07_4	0.883
Day21_4	Day07_4	0.881
Day21_5	Day07_4	0.882
Day21_6	Day07_4	0.886
Day28_1	Day07_4	0.848
Day28_2	Day07_4	0.843
Day28_3	Day07_4	0.836
Day28_4	Day07_4	0.845
Day28_5	Day07_4	0.833
Day28_6	Day07_4	0.845
Day0_1	Day07_5	0.72
Day0_2	Day07_5	0.733
Day0_3	Day07_5	0.732
Day0_4	Day07_5	0.725
Day0_5	Day07_5	0.732
Day0_6	Day07_5	0.728
Day03_1	Day07_5	0.863
Day03_2	Day07_5	0.861
Day03_3	Day07_5	0.856
Day03_4	Day07_5	0.862
Day03_5	Day07_5	0.855
Day03_6	Day07_5	0.861
Day07_1	Day07_5	0.962
Day07_2	Day07_5	0.975
Day07_3	Day07_5	0.979
Day07_4	Day07_5	0.988
Day07_5	Day07_5	1
Day07_6	Day07_5	0.972
Day10_1	Day07_5	0.958
Day10_2	Day07_5	0.951
Day10_3	Day07_5	0.941
Day10_4	Day07_5	0.956
Day10_5	Day07_5	0.93
Day10_6	Day07_5	0.953
Day14_1	Day07_5	0.91
Day14_2	Day07_5	0.91
Day14_3	Day07_5	0.918
Day14_4	Day07_5	0.923
Day14_5	Day07_5	0.916
Day14_6	Day07_5	0.912
Day21_1	Day07_5	0.894
Day21_2	Day07_5	0.888
Day21_3	Day07_5	0.886
Day21_4	Day07_5	0.886
Day21_5	Day07_5	0.887
Day21_6	Day07_5	0.891
Day28_1	Day07_5	0.853
Day28_2	Day07_5	0.85
Day28_3	Day07_5	0.835
Day28_4	Day07_5	0.847
Day28_5	Day07_5	0.837
Day28_6	Day07_5	0.851
Day0_1	Day07_6	0.705
Day0_2	Day07_6	0.726
Day0_3	Day07_6	0.722
Day0_4	Day07_6	0.712
Day0_5	Day07_6	0.721
Day0_6	Day07_6	0.725
Day03_1	Day07_6	0.858
Day03_2	Day07_6	0.86
Day03_3	Day07_6	0.853
Day03_4	Day07_6	0.855
Day03_5	Day07_6	0.842
Day03_6	Day07_6	0.85
Day07_1	Day07_6	0.972
Day07_2	Day07_6	0.972
Day07_3	Day07_6	0.965
Day07_4	Day07_6	0.973
Day07_5	Day07_6	0.972
Day07_6	Day07_6	1
Day10_1	Day07_6	0.939
Day10_2	Day07_6	0.939
Day10_3	Day07_6	0.94
Day10_4	Day07_6	0.943
Day10_5	Day07_6	0.92
Day10_6	Day07_6	0.934
Day14_1	Day07_6	0.895
Day14_2	Day07_6	0.897
Day14_3	Day07_6	0.904
Day14_4	Day07_6	0.909
Day14_5	Day07_6	0.904
Day14_6	Day07_6	0.908
Day21_1	Day07_6	0.884
Day21_2	Day07_6	0.886
Day21_3	Day07_6	0.877
Day21_4	Day07_6	0.879
Day21_5	Day07_6	0.877
Day21_6	Day07_6	0.88
Day28_1	Day07_6	0.85
Day28_2	Day07_6	0.85
Day28_3	Day07_6	0.849
Day28_4	Day07_6	0.847
Day28_5	Day07_6	0.844
Day28_6	Day07_6	0.848
Day0_1	Day10_1	0.671
Day0_2	Day10_1	0.677
Day0_3	Day10_1	0.676
Day0_4	Day10_1	0.669
Day0_5	Day10_1	0.677
Day0_6	Day10_1	0.67
Day03_1	Day10_1	0.789
Day03_2	Day10_1	0.792
Day03_3	Day10_1	0.792
Day03_4	Day10_1	0.79
Day03_5	Day10_1	0.789
Day03_6	Day10_1	0.793
Day07_1	Day10_1	0.927
Day07_2	Day10_1	0.94
Day07_3	Day10_1	0.955
Day07_4	Day10_1	0.951
Day07_5	Day10_1	0.958
Day07_6	Day10_1	0.939
Day10_1	Day10_1	1
Day10_2	Day10_1	0.988
Day10_3	Day10_1	0.978
Day10_4	Day10_1	0.985
Day10_5	Day10_1	0.964
Day10_6	Day10_1	0.987
Day14_1	Day10_1	0.972
Day14_2	Day10_1	0.972
Day14_3	Day10_1	0.976
Day14_4	Day10_1	0.977
Day14_5	Day10_1	0.972
Day14_6	Day10_1	0.966
Day21_1	Day10_1	0.957
Day21_2	Day10_1	0.95
Day21_3	Day10_1	0.954
Day21_4	Day10_1	0.95
Day21_5	Day10_1	0.952
Day21_6	Day10_1	0.953
Day28_1	Day10_1	0.921
Day28_2	Day10_1	0.918
Day28_3	Day10_1	0.888
Day28_4	Day10_1	0.917
Day28_5	Day10_1	0.909
Day28_6	Day10_1	0.922
Day0_1	Day10_2	0.662
Day0_2	Day10_2	0.671
Day0_3	Day10_2	0.671
Day0_4	Day10_2	0.663
Day0_5	Day10_2	0.672
Day0_6	Day10_2	0.667
Day03_1	Day10_2	0.785
Day03_2	Day10_2	0.787
Day03_3	Day10_2	0.792
Day03_4	Day10_2	0.787
Day03_5	Day10_2	0.782
Day03_6	Day10_2	0.794
Day07_1	Day10_2	0.926
Day07_2	Day10_2	0.941
Day07_3	Day10_2	0.954
Day07_4	Day10_2	0.948
Day07_5	Day10_2	0.951
Day07_6	Day10_2	0.939
Day10_1	Day10_2	0.988
Day10_2	Day10_2	1
Day10_3	Day10_2	0.974
Day10_4	Day10_2	0.986
Day10_5	Day10_2	0.963
Day10_6	Day10_2	0.984
Day14_1	Day10_2	0.972
Day14_2	Day10_2	0.972
Day14_3	Day10_2	0.974
Day14_4	Day10_2	0.976
Day14_5	Day10_2	0.974
Day14_6	Day10_2	0.97
Day21_1	Day10_2	0.956
Day21_2	Day10_2	0.952
Day21_3	Day10_2	0.955
Day21_4	Day10_2	0.952
Day21_5	Day10_2	0.952
Day21_6	Day10_2	0.954
Day28_1	Day10_2	0.923
Day28_2	Day10_2	0.919
Day28_3	Day10_2	0.897
Day28_4	Day10_2	0.919
Day28_5	Day10_2	0.91
Day28_6	Day10_2	0.923
Day0_1	Day10_3	0.66
Day0_2	Day10_3	0.669
Day0_3	Day10_3	0.665
Day0_4	Day10_3	0.655
Day0_5	Day10_3	0.665
Day0_6	Day10_3	0.661
Day03_1	Day10_3	0.778
Day03_2	Day10_3	0.784
Day03_3	Day10_3	0.781
Day03_4	Day10_3	0.779
Day03_5	Day10_3	0.779
Day03_6	Day10_3	0.776
Day07_1	Day10_3	0.927
Day07_2	Day10_3	0.93
Day07_3	Day10_3	0.936
Day07_4	Day10_3	0.933
Day07_5	Day10_3	0.941
Day07_6	Day10_3	0.94
Day10_1	Day10_3	0.978
Day10_2	Day10_3	0.974
Day10_3	Day10_3	1
Day10_4	Day10_3	0.975
Day10_5	Day10_3	0.961
Day10_6	Day10_3	0.976
Day14_1	Day10_3	0.964
Day14_2	Day10_3	0.965
Day14_3	Day10_3	0.966
Day14_4	Day10_3	0.965
Day14_5	Day10_3	0.963
Day14_6	Day10_3	0.962
Day21_1	Day10_3	0.946
